id_hogar,tipo_vivienda,material_externo,material_pisos,material_techos,habitaciones,lic_contruccion,asist_construccion,precio_alq,titulo_prop,agua_potable,calidad_agua,nivel_cloro_agua,acceso_agua,horas_agua,dias_agua,horas_agua_parcial
23035,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
23731,1,1,5,1,7.0,2,2,800.0,1,1,2,0.4,1,24.0,3.75,9.578947368421053
23670,2,1,1,1,4.0,1,1,772.6867469879518,1,1,2,0.4,1,24.0,3.75,9.578947368421053
8440,1,7,5,4,3.0,2,2,200.0,1,1,1,0.8,1,12.0,3.75,9.578947368421053
22142,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
21143,1,7,6,4,2.0,2,2,260.0,2,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
22156,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
8619,1,1,5,5,2.0,2,2,300.0,1,1,2,0.1,1,24.0,3.75,9.578947368421053
20387,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
9284,1,1,5,1,4.0,2,2,150.0,1,1,1,0.6,1,18.0,3.75,9.578947368421053
22153,8,9,7,8,3.957029177718833,3,3,772.6867469879518,1,1,9,0.5158434,1,20.88481375358166,3.75,9.578947368421053
23653,1,1,2,1,3.0,2,2,150.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
23456,1,1,5,1,4.0,1,1,300.0,1,1,1,0.8,1,24.0,3.75,9.578947368421053
22846,1,1,3,1,5.0,1,3,772.6867469879518,1,1,2,0.2,1,24.0,3.75,9.578947368421053
23078,2,1,1,1,4.0,1,1,2040.0,1,1,1,0.6,1,24.0,3.75,9.578947368421053
22862,2,1,4,1,6.0,1,1,772.6867469879518,1,1,3,0.0,1,24.0,3.75,9.578947368421053
